id,zanr_vana,zanr1,zanr2,zanr3,lliik,liik_vana
49,k/rl/ll,kombekirjeldus,regilaul,,Lastelaulud,
50,kal/rl,kombekirjeldus,regilaul,,Kalendrilaulud,
51,keel,keel,,,,
52,kiri,kiri,,,,
53,kiri/andm,kiri,,,,
54,kiri/andm/rl,kiri,regilaul,,,
55,kiri/l,kiri,uuem rahvalaul,,,
56,kiri/rl,kiri,regilaul,,,
57,kiri/uk/andm/ul,kiri,kombekirjeldus,uuem rahvalaul,,
58,kiri/ul,kiri,uuem rahvalaul,,,
59,l,uuem rahvalaul,,,,
60,L (tatari),uuem rahvalaul,,,,
61,l/uk pulm,kombekirjeldus,regilaul,,Pulmalaulud,
62,Lastelaul,,,,Lastelaulud,
63,lh,loodushäälend,,,,
64,lh (?),loodushäälend,,,,
65,lh/j,jutt,loodushäälend,,,
66,lh/ll,varia,,,,
67,Lh/rl,varia,,,Lastelaulud,
68,lh/u,kombekirjeldus,loodushäälend,,,
69,lh?,loodushäälend,,,,
70,lh? ll?,varia,,,,
71,lh?/ll,,,,Lastelaulud,
72,LI,,,,Lastelaulud,
73,LL,,,,Lastelaulud,
74,ll = j,,,,Looduslaulud,
75,ll/mng,,,,Lastelaulud,
76,Ll/mngl,varia,,,,
77,ll/mngl/uk,kombekirjeldus,regilaul,,,
78,ll/mngl?,varia,,,,
79,ll/ns,varia,,,,
80,ll/ns?,varia,,,,
81,Ll/rl,,,,Lastelaulud,
82,ll/rl/mng,varia,,,,
83,ll/rl/ul/tl,varia,,,,
84,ll/tl?,varia,,,,
85,ll/uk,varia,,,,
86,Ll/ul,uuem lastelaul,,,,
87,ll?,,,,Lastelaulud,
88,ll?/mngl?,varia,,,,
89,mj,muinasjutt,,,,
90,mj/l,muinasjutt,uuem rahvalaul,,,
91,mj/lh,muinasjutt,loodushäälend,,,
92,mj/rl,muinasjutt,regilaul,,,
93,mj/rl/ul,muinasjutt,uuem rahvalaul,,,
94,mj/ul,muinasjutt,uuem rahvalaul,,,
95,Mng,mäng,,,,
96,Mng ?,mäng,,,,
97,mng/ll,varia,,,,
98,mng/rl,,,,Laulumängud,
99,mng/rl/ll,,,,Laulumängud,
100,mng/ul,ringmängulaul,,,,
101,Mng: Hobuse m,,,,Laulumängud,
102,Mngl,,,,Laulumängud,
103,mngl/j?,jutt,regilaul,,Laulumängud,
104,mngl/mng,,,,Laulumängud,
105,Mngl/uk,kombekirjeldus,regilaul,,Laulumängud,
106,mngl/ul,ringmängulaul,,,,
107,mngl?,,,,Laulumängud,
108,mst,mõistatus,,,,
109,Mst/rl,varia,,,,
110,muist,muistend,,,,
111,muist kirj/rl kirj,muistend,regilaul,,,
112,muist rl,muistend,regilaul,,,
113,muist/rl,muistend,regilaul,,,
114,muist/uk/ns,muistend,regilaul,,Loitsud,
115,muist/ul/rl,muistend,siirdevormiline laul,,,
116,nalj,naljand,,,,
117,nl,naljand,,,,
118,nlj,naljand,,,,
119,nlj?/rl,naljand,regilaul,,,
120,Ns,,,,Loitsud,
121,ns (?),,,,Loitsud,
122,Ns/rl,,,,Loitsud,
123,ns/rl/j,,,,Loitsud,
124,ns/rl/kirj,,,,Loitsud,
125,ns/rl/uk,kombekirjeldus,regilaul,,Loitsud,
126,Ns/rl/ul,,,,Loitsud,
127,ns/uk,kombekirjeldus,regilaul,,Loitsud,
128,ns/uk/ll,kombekirjeldus,regilaul,,Loitsud,
129,ns/uk/ul,kombekirjeldus,nõiasõnad,,,
130,ns/ul,nõiasõnad,,,,
131,ns/ul?,nõiasõnad,,,,
132,ns?,,,,Loitsud,
133,ns?/ul,nõiasõnad,,,,
134,Pl,,,,Pulmalaulud,
135,pl,,,,Pulmalaulud,
